product_id,recall_id,source_agency,external_id,name,brand,model_number,upc,lot_codes,category,model_year
251452,87235,FDA,D-0638-2026,"Med Pride, 1% Clotrimazole Antifungal Cream, Net Wt. 1oz (28.3g), Manufactured for: Shield Line LLC, 59 Hook Road, Bayonne, NJ 07002 USA, Made in India, UPC 3 524103 0244 2.",,,,"Lot# 001, 002, 003, 004, 005, 006, 007, 008, 009, 010, 011, 012, 013, Within Expiry.",drug,
251468,87251,FDA,D-0642-2026,"Med Pride, Triple Antibiotic Ointment, Bacitracin Zinc 400 units, Neomycin Sulfate 5 mg, Polymyxin B 5000 units, 1oz (28.3g) tubes, Manufactured for: Shield Line LLC, 59 Hook Road, Bayonne, NJ 07002 USA, Made in India, UPC 3 52410 30255 8.",,,,"Lot# 001, 002, 003, 004, 005, 006, 007, 008, 009, 010, 012, 013, 023, 024, 025, 027, 028, 029, 031, 032, 033, 034, 035, Within Expiry.",drug,
251474,87257,FDA,D-0619-2026,"hydrOXYzine Hydrochloride Oral Solution, USP, 10 mg/5 mL, 473 mL (1 Pint), Rx only, Distributed by: ANI Pharmaceuticals, Inc., Baudette, MN 56623.  NDC: 70954-912-10",,,,Lot S25133A,drug,
251508,87291,FDA,D-0631-2026,"Circle K, triple antibiotic ointment, Bacitracin Zinc (400 units), Neomycin Sulfate (3.5 mg), Polymyxin-B Sulfate (5000 units), net wt. 0.5 oz (14.2g) tubes, Product manufactured for Lil' Drug Store Products, Inc., 9300 Earhart Lane SW, Cedar Rapids, IA 52404, Made in India, UPC 1 94283 65181 0.",,,,"Lot# 0001, and Lot# 0005, within expiry",drug,
251531,87314,FDA,D-0634-2026,"Cura Hongos, Crema Antifungica, Clotrimazole 1%, 2oz (57g) tubes, Dist by/por: Pharmadel LLC, New Castle, DE 19720, Made in India, UPC 8 52924 00683 1.",,,,"Lot# 0003, within expiry",drug,
251533,87316,FDA,D-0635-2026,"Med Pride, Bacitracin Zinc Ointment, 500 units, 0.9g packets Net Wt 130g, 144 count box, Manufactured for: Shield Line LLC, 59 Hook Road, Bayonne, NJ 07002 USA, Made in India, UPC 3 52410 30352 4.",,,,"Lot# 007, 008, 009, 015, 016, Within Expiry.",drug,
6,6,FSIS,007-2026,"13.23-oz. plastic bag packages containing “Synear SUPREME SOUP DUMPLING PORK &amp; CRAB” and “BEST BY” dates 15 OCT 2026, 10 NOV 2026, 23 DEC 2026, 26 JAN 2027, or 23 FEB 2027.; 375-g. plastic bag packages containing “Synear SUPREME SOUP DUMPLING DUMPLINGS À LA SOUPE SUPRÊME PORK &amp; CRAB PORC ET CRABE” with “Product of USA/Produit des E.-U” and best by dates 2026 OC 15 or 2027 JA 26.",,,,Recall-007-2026-Labels.pdf,food,
7,7,FSIS,PHA-05242026-01,FSIS Issues Public Health Alert for Beef Kofta Products Served at The Kebab Shop Restaurant Locations Due to Possible E. Coli O157:H7 Contamination,,,,,food,
8,8,FSIS,PHA-05092026-01,"Various weight packages packed or sliced in retail delis, containing “DAISY BRAND Meat Products HEADCHEESE,” with a “USE BY” date of “MAR 26 2026.”; Various weight packages packed or sliced in retail delis, containing “DAISY BRAND Meat Products HEADCHEESE,” with a red sticker indicating “HOT” and a “USE BY” date of “MAR 26 2026.”",,,,pha-05092026-01-labels.pdf,food,
9,9,FSIS,PHA-05042026-01,•	32-oz. plastic bag packages containing “Giovanni Rana RANA Rustic Beef Sauce &amp; Creamy Burrata Cheese Ravioli” with “use by” dates ranging 05/14/2026 – 06/25/2026,,,,pha-05042026-01-labels,food,
