firm_id,canonical_name,display_name,aliases
6904,shein distribution corporation of los angeles california,"SHEIN Distribution Corporation, of Los Angeles, California","SHEIN Distribution Corporation, of Los Angeles, California"
7587,shenzhen bopu product design co ltd dba popooo of china,"Shenzhen Bopu Product Design Co., Ltd., dba POPOOO, of China","Shenzhen Bopu Product Design Co., Ltd., dba POPOOO, of China"
7549,shenzhen city shengru fu shi company ltd doing business as veseacky of china,"Shenzhen City ShengRu Fu Shi Company Ltd., doing business as Veseacky, of China","Shenzhen City ShengRu Fu Shi Company Ltd., doing business as Veseacky, of China"
7548,shenzhen fuxiangyue technology co ltd dba arrogantf of china,"Shenzhen Fuxiangyue Technology Co., Ltd., dba Arrogantf, of China","Shenzhen Fuxiangyue Technology Co., Ltd., dba Arrogantf, of China"
7538,shenzhen qicheng trading co ltd dba carina and rambo of china,"Shenzhen Qicheng Trading Co., Ltd., dba Carina and Rambo, of China","Shenzhen Qicheng Trading Co., Ltd., dba Carina and Rambo, of China"
7579,shenzhenshiyuezhangwangluokejiyouxiangongsi shenzhen yuezhang network technology co ltd doing business as yuezhang of china,"shenzhenshiyuezhangwangluokejiyouxiangongsi (Shenzhen Yuezhang Network Technology Co., Ltd.), doing business as YUEZHANG, of China","shenzhenshiyuezhangwangluokejiyouxiangongsi (Shenzhen Yuezhang Network Technology Co., Ltd.), doing business as YUEZHANG, of China"
7539,shield line llc of branchburg new jersey,"Shield Line LLC, of Branchburg, New Jersey","Shield Line LLC, of Branchburg, New Jersey"
9,sky ranch meat,Sky Ranch Meat LLC,Sky Ranch Meat LLC
20845,sorensen boats,"SORENSEN BOATS, LLC","SORENSEN BOATS, LLC"
6753,southern telecom inc of new york,"Southern Telecom Inc., of New York","Southern Telecom Inc., of New York"
7540,spector co of saint laurent of quebec canada,"Spector & Co., of Saint Laurent, of Quebec, Canada","Spector & Co., of Saint Laurent, of Quebec, Canada"
16394,sun pharmaceutical industries,Sun Pharmaceutical Industries Inc.,"SUN PHARMACEUTICAL INDUSTRIES INC|Sun Pharmaceutical Industries Inc.|Sun Pharmaceutical Industries Ltd.|Sun Pharmaceutical Industries, Inc."
17,suzanna 039 s kitchen,Suzanna&#039;s Kitchen Inc,Suzanna&#039;s Kitchen|Suzanna&#039;s Kitchen Inc|Suzanna&#039;s Kitchen Inc.
5,synear foods,"Synear Foods USA, LLC","Synear Foods USA, LLC"
4,taher,"Taher, Inc.","Taher, Inc."
635,target,Target,Target|Target Corporation
7589,target of minneapolis minnesota,"Target, of Minneapolis, Minnesota","Target, of Minneapolis, Minnesota"
9261,teko,"TEKO, INC.","TEKO, INC."
12088,the harvard drug group,"The Harvard Drug Group, LLC","The Harvard Drug Group|The Harvard Drug Group LLC|The Harvard Drug Group, LLC"
28,the hillshire brands,The Hillshire Brands Company,The Hillshire Brands Company
20844,thunder blade,THUNDER BLADE,THUNDER BLADE
20045,tidewater boats,TIDEWATER BOATS LLC,TIDEWATER BOATS LLC
7833,tiffin motorhomes,"Tiffin Motorhomes, Inc.","TIFFIN MOTORHOMES, INC.|Tiffin Motorhomes, Inc."
7605,toyota motor,Toyota Motor Corporation,"TOYOTA MOTOR CO., LTD.|Toyota Motor Corporation"
7532,treatlife technology co ltd of china,"Treatlife Technology Co. Ltd., of China","Treatlife Technology Co. Ltd., of China"
20044,veco s p a,VECO S.P.A.,VECO S.P.A.
20843,vision marine technology,VISION MARINE TECHNOLOGY,VISION MARINE TECHNOLOGY
20040,volvo group volvo penta,VOLVO GROUP / VOLVO PENTA,VOLVO GROUP / VOLVO PENTA
20042,volvo penta,VOLVO PENTA,VOLVO PENTA
29,wcd kitchen minooka,WCD Kitchen - Minooka,WCD Kitchen - Minooka
20049,weld craft mfg,WELD CRAFT MFG INC,WELD CRAFT MFG INC
12,white oak pastures,White Oak Pastures,White Oak Pastures
7591,winco fireworks international llc of grandview missouri,"Winco Fireworks International, LLC, of Grandview, Missouri","Winco Fireworks International, LLC, of Grandview, Missouri"
7581,xishentang dongguan trading co ltd dba pretty life of china,"Xishentang Dongguan Trading Co, Ltd., dba Pretty-Life, of China","Xishentang Dongguan Trading Co, Ltd., dba Pretty-Life, of China"
6849,yongkang ruihe metal products co ltd of china,"Yongkang Ruihe Metal Products Co. Ltd., of China","Yongkang Ruihe Metal Products Co. Ltd., of China"
7580,zhangzhoushi jingqu trading co ltd dba wonder stone toys of china,"Zhangzhoushi Jingqu Trading Co., Ltd., dba Wonder Stone Toys, of China","Zhangzhoushi Jingqu Trading Co., Ltd., dba Wonder Stone Toys, of China"
